CITE, DESC
2 Chronicles 9:1  , testing with hard questions
1 Kings 10:1      , testing with hard questions
Ephesians 5:19    , spiritual songs
Acts 16:19        , the realization that the hope of making money is gone
Acts 16:19        , identify and declare as a servant or disciple of a household 
Luke 22:56        , identify and declare as a servant or disciple of a household 
Revelation 2:19   , I know what you've been doing
Acts 19:15        , i know who you are
Acts 19:15       , i know x and y but who are you
_blank_           , opening and closing

